,0,0.1,0.2,0.3,0.4
0,0.9555555555555556,0.96,0.9922222222222222,0.9994444444444445,1.0
1,0.8757142857142857,0.8792857142857143,0.9678571428571429,1.0,1.0
2,0.8988235294117647,0.9058823529411765,0.9735294117647059,0.9723529411764706,0.9976470588235294
3,0.7826666666666666,0.8706666666666667,0.95,0.9406666666666667,0.9906666666666667
4,0.2885714285714286,0.22,0.9328571428571428,0.9928571428571429,1.0
5,0.9371428571428572,0.9204761904761904,0.9685714285714285,0.9909523809523809,0.9923809523809524
6,0.6506666666666666,0.5793333333333334,0.896,0.9633333333333334,1.0
7,0.9105555555555556,0.8733333333333333,0.9977777777777778,0.9983333333333333,1.0
8,0.66,0.4603846153846154,0.9807692307692307,0.9711538461538461,0.9996153846153846
9,0.8367741935483871,0.8096774193548387,0.977741935483871,1.0,1.0
10,0.1835,0.1935,0.822,0.9965,1.0
11,0.9255555555555556,0.8838888888888888,0.9766666666666667,0.9755555555555555,0.9983333333333333
12,0.19666666666666666,0.18541666666666667,0.7704166666666666,0.7766666666666666,1.0
13,0.8916666666666667,0.7933333333333333,0.9758333333333333,0.9333333333333333,1.0
14,0.9178947368421052,0.8152631578947368,0.9794736842105263,0.9763157894736842,0.978421052631579
15,0.9157142857142857,0.89,0.9728571428571429,0.9971428571428571,1.0
16,0.98,0.9781818181818182,0.9863636363636363,0.9854545454545455,1.0
17,0.48791666666666667,0.4666666666666667,0.9620833333333333,0.9970833333333333,1.0
18,0.9476923076923077,0.9407692307692308,0.9730769230769231,0.9961538461538462,1.0
19,0.964375,0.966875,0.979375,0.9875,0.998125
20,0.9691666666666666,0.9625,0.9716666666666667,1.0,1.0
21,0.901875,0.9,0.99875,1.0,1.0
22,0.930625,0.90125,0.998125,1.0,1.0
23,0.9521052631578948,0.9284210526315789,0.9773684210526316,0.9694736842105263,0.9889473684210527
24,0.9335,0.8955,0.961,0.996,1.0
25,0.9371428571428572,0.8792857142857143,0.8921428571428571,0.945,1.0
26,0.9577777777777777,0.9561111111111111,0.9855555555555555,0.9894444444444445,1.0
27,0.9047058823529411,0.9194117647058824,0.9952941176470588,0.9788235294117648,0.9864705882352941
28,0.913125,0.8725,0.943125,0.92625,1.0
29,0.8346153846153846,0.7976923076923077,0.9615384615384616,0.9892307692307692,1.0
30,0.945,0.8885714285714286,0.9957142857142857,1.0,1.0
31,0.8994444444444445,0.8788888888888889,0.9844444444444445,0.9011111111111111,1.0
32,0.9365,0.844,0.976,0.996,0.997
33,0.7325,0.70625,0.9575,0.99375,1.0
34,0.8931818181818182,0.8709090909090909,0.9818181818181818,0.9913636363636363,1.0
35,0.9460714285714286,0.9428571428571428,0.9728571428571429,0.9907142857142858,1.0
36,0.32666666666666666,0.2819047619047619,0.8733333333333333,0.9419047619047619,1.0
37,0.791578947368421,0.7536842105263157,0.9405263157894737,0.98,0.9957894736842106
38,0.9211111111111111,0.8788888888888889,0.9872222222222222,0.9561111111111111,0.9933333333333333
39,0.8636842105263158,0.9294736842105263,0.9710526315789474,0.9963157894736843,1.0
40,0.8766666666666667,0.862,0.9863333333333333,0.9866666666666667,0.998
41,0.6361904761904762,0.7623809523809524,0.9233333333333333,0.929047619047619,1.0
42,0.8469230769230769,0.823076923076923,0.9903846153846154,0.985,1.0
43,0.6514814814814814,0.6527777777777778,0.7905555555555556,0.9722222222222222,1.0
44,0.9611764705882353,0.9588235294117647,0.9723529411764706,1.0,1.0
45,0.9725,0.960625,0.983125,0.97625,0.99875
46,0.9705882352941176,0.951764705882353,0.9676470588235294,0.9982352941176471,1.0
47,0.9478947368421052,0.9521052631578948,0.9894736842105263,0.9815789473684211,1.0
48,0.925,0.9228571428571428,0.9971428571428571,0.9985714285714286,1.0
49,0.9266666666666666,0.9227777777777778,0.9983333333333333,0.9838888888888889,1.0
50,0.9357142857142857,0.8764285714285714,0.99,1.0,1.0
51,0.9594444444444444,0.9611111111111111,0.9855555555555555,0.9494444444444444,0.9805555555555555
52,0.939047619047619,0.9538095238095238,0.979047619047619,0.9676190476190476,1.0
53,0.971764705882353,0.9647058823529412,0.9888235294117647,0.9970588235294118,1.0
54,0.9625,0.963125,0.99375,0.990625,1.0
55,0.9373333333333334,0.9406666666666667,0.9853333333333333,1.0,1.0
56,0.933076923076923,0.9146153846153846,0.9676923076923077,0.9853846153846154,1.0
57,0.9605882352941176,0.9670588235294117,0.9870588235294118,0.9976470588235294,1.0
58,0.8264285714285714,0.8778571428571429,0.9721428571428572,0.9485714285714286,1.0
